dice,es
1111,ácido
1112,bellota
1113,acre
1114,hechos
1115,lejos
1116,afijo
1121,añejo
1122,agente
1123,ágil
1124,añejando
1125,agonía
1126,adelante
1131,ayudante
1132,ayudas
1133,apuntar
1134,abertura
1135,alarma
1136,alias
1141,excusa
1142,alien
1143,similar
1144,vivo
1145,áloe
1146,arriba
1151,aloha
1152,solo
1153,enmendar
1154,amina
1155,amplio
1156,divertir
1161,Ángel
1162,enojo
1163,ángulo
1164,tobillo
1165,manzana
1166,abril
1211,delantal
1212,agua
1213,área
1214,arena
1215,discutir
1216,aumentar
1221,armado
1222,armadura
1223,Ejército
1224,aroma
1225,arreglo
1226,incendio provocado
1231,Arte
1232,cenizo
1233,ceniza
1234,atlas
1235,átomo
1236,ático
1241,audio
1242,evitar
1243,evitar
1244,despierto
1245,otorgar
1246,despertarse
1251,eje
1252,tocino
1253,Insignia
1254,rosquilla
1255,holgado
1256,horneado
1261,panadero
1262,balsámico
1263,banjo
1264,barcaza
1265,granero
1266,intento
1311,albahaca
1312,disfrutar
1313,lote
1314,bañera
1315,batuta
1316,murciélagos
1321,espada
1322,vacío
1323,explosión
1324,resplandor
1325,desolado
1326,mezcla
1331,bendecir
1332,dirigible
1333,parpadear
1334,inflar
1335,gota
1336,Blog
1341,mancha
1342,desafilado
1343,decir bruscamente
1344,sonrojo
1345,presumir
1346,bote
1351,cuerpo
1352,hervir
1353,bok
1354,tornillo
1355,sin espinas
1356,boney
1361,prima
1362,óseo
1363,libro
1364,puesto
1365,botas
1366,patrón
1411,chapucear
1412,ambas cosas
1413,Boxer
1414,criar
1415,soborno
1416,ladrillo
1421,novia
1422,borde
1423,traer
1424,borde
1425,enérgico
1426,amplio
1431,asar
1432,en bancarrota
1433,arroyo
1434,Escoba
1435,cepillo
1436,dólar
1441,brote
1442,calesa
1443,bulto
1444,a granel
1445,matón
1446,racimo
1451,conejito
1452,tizón
1453,arbusto
1454,busto
1455,ocupado
1456,zumbido
1461,cable
1462,cache
1463,cadete
1464,jaula
1465,pastel
1466,tranquilo
1511,camafeo
1512,canal
1513,caramelo
1514,caña
1515,canon
1516,capa
1521,tarjeta
1522,carga
1523,villancico
1524,llevar
1525,esculpir
1526,caso
1531,dinero en efectivo
1532,porque
1533,cedro
1534,cadena
1535,silla
1536,cantar
1541,caos
1542,encanto
1543,perseguir
1544,mejilla
1545,alegría
1546,cocinero
1551,ajedrez
1552,cofre
1553,masticar
1554,jefe
1555,chile
1556,enfriar
1561,chip
1562,chomp
1563,picar
1564,perro chino
1565,arrojar
1566,cabeza
1611,pedazo
1612,batir
1613,tolva
1614,sidra
1615,cincha
1616,ciudad
1621,cívico
1622,civil
1623,revestido
1624,afirmar
1625,abrazadera
1626,aplaudir
1631,choque
1632,corchete
1633,clase
1634,garra
1635,arcilla
1636,limpio
1641,claro
1642,listón
1643,hendido
1644,secretario
1645,hacer clic
1646,adherirse
1651,tintinar
1652,acortar
1653,capa
1654,reloj
1655,clon
1656,tela
1661,nube
1662,grupo
1663,entrenador
